,Klebsiella pneumoniae 1162281 1037908.3,Klebsiella pneumoniae KCTC 2242 1049565.4,Klebsiella pneumoniae 1191100241 1074486.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH1 1087440.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH2 1087441.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH4 1087443.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH5 1087444.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH6 1087445.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH7 1094167.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH8 1094168.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH9 1094169.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH10 1094170.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11 1094171.3,Klebsiella pneumoniae subsp. pneumoniae HS11286 1125630.4,Klebsiella pneumoniae subsp. pneumoniae KPNIH12 1128946.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH14 1128948.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH16 1128950.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH17 1128951.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH18 1128952.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH19 1128953.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH20 1128954.3,Klebsiella pneumoniae subsp. pneumoniae DSM 30104 1162296.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH21 1168062.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH22 1168063.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH23 1168064.3,Klebsiella pneumoniae subsp. pneumoniae LZ 1177153.3,Klebsiella pneumoniae subsp. pneumoniae ST512-K30BO 1185418.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO 1185419.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO 1185420.3,Klebsiella pneumoniae subsp. pneumoniae 1084 1193292.6,Klebsiella pneumoniae subsp. pneumoniae WGLW1 1203544.3,Klebsiella pneumoniae subsp. pneumoniae WGLW2 1203545.3,Klebsiella pneumoniae subsp. pneumoniae WGLW5 1203547.3,Klebsiella pneumoniae subsp. pneumoniae ST258-490 1212766.3,Klebsiella pneumoniae subsp. pneumoniae KpQ3 1226115.3,Klebsiella pneumoniae subsp. pneumoniae Ecl8 1226680.3,Klebsiella pneumoniae ATCC BAA-2146 1263871.3,Klebsiella pneumoniae hvKP1 1267897.3,Klebsiella pneumoniae ATCC BAA-1705 1276652.3,Klebsiella pneumoniae 700603 1276653.3,Klebsiella pneumoniae PR04 1279040.3,Klebsiella pneumoniae UHKPC40 1284787.3,Klebsiella pneumoniae UHKPC23 1284788.3,Klebsiella pneumoniae UHKPC05 1284790.3,Klebsiella pneumoniae DMC0526 1284796.3,Klebsiella pneumoniae UHKPC48 1284801.3,Klebsiella pneumoniae UHKPC09 1284810.3,Klebsiella pneumoniae UHKPC01 1284811.3,Klebsiella pneumoniae UHKPC81 1284812.3,Klebsiella pneumoniae UHKPC27 1284813.3,Klebsiella pneumoniae UHKPC 52 1284814.3,Klebsiella pneumoniae UHKPC24 1284815.3,Klebsiella pneumoniae UHKPC26 1284816.3,Klebsiella pneumoniae UHKPC57 1284817.3,Klebsiella pneumoniae UHKPC45 1284819.3,Klebsiella pneumoniae UHKPC22 1284820.3,Klebsiella pneumoniae UHKPC29 1284821.3,Klebsiella pneumoniae UHKPC32 1284822.3,Klebsiella pneumoniae UHKPC04 1284823.3,Klebsiella pneumoniae VAKPC252 1284824.3,Klebsiella pneumoniae VAKPC254 1284825.3,Klebsiella pneumoniae VAKPC269 1284826.3,Klebsiella pneumoniae VAKPC278 1284827.3,Klebsiella pneumoniae VAKPC280 1284828.3,Klebsiella pneumoniae VAKPC270 1284829.3,Klebsiella pneumoniae VAKPC276 1284830.3,Klebsiella pneumoniae VAKPC297 1284831.3,Klebsiella pneumoniae VAKPC309 1284832.3,Klebsiella pneumoniae KP-11 1284834.3,Klebsiella pneumoniae HSL4 1294269.3,Klebsiella pneumoniae 361_1301 1304920.3,Klebsiella pneumoniae 500_1420 1304922.3,Klebsiella pneumoniae 540_1460 1304923.3,Klebsiella pneumoniae 646_1568 1304924.3,Klebsiella pneumoniae subsp. pneumoniae 12-3578 1306950.3,Klebsiella pneumoniae ATCC 25955 1316938.3,Klebsiella pneumoniae G5-2 1316939.3,Klebsiella pneumoniae MGH 78578 272620.3,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 272620.9,Klebsiella pneumoniae NTUH-K2044 484021.4,Klebsiella pneumoniae 342 507522.6,Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 667127.3
KPN_01526,100,99.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.8,99.8,100,100,100,98.66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.81,99.78,100,100,100,100,98.85,100,100,100,100,100,98.47,99.8
KPN_00941,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.83,100,100,100,100,100,100,100,100,100,100,100,100,100,99.83,99.83,100,100,100,100,100,100,100,100,100,100,100,100,99.66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.83,100,100,100,100,100,99.83,99.83,99.83,100,100,100,99.83,99.48
KPN_00133,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.88,100,100,100,100,100,98.88,100
KPN_00184,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.59,100
KPN_04784,100,99.63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.63,100,100,100,100,100,100,100,100,100,100,99.63,100,100,99.63,100,99.63,100,99.63,100,100,100,100,100,100,100,100,99.63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.63,100,100,100,100,100,99.63,100
KPN_02844,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.52,100,100,100,100,99.52,100,100,100,100,100,100,99.52,100,99.52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.28,99.76,100,100,100,100,99.52,100,100,100,100,100,99.53,99.76
KPN_01547,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,99.8,100,100,100,100,100,100,98.61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.74,100,100,100,100,100,97.91,99.79
KPN_00862,99.35,99.84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.84,93.54,99.04,100,100,100,100,99.84,100,100,99.84,99.84,100,100,97.09,100,100,100,100,100,100,100,100,99.84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.42,100,100,100,100,100,97.57,99.01
KPN_00880,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KPN_02477,99.72,100,99.32,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.43,99.72,99.72,99.72,99.72,99.72,99.72,99.72,100,99.72,99.72,99.72,99.72,99.72,99.07,99.72,100,99.72,99.72,100,99.72,100,100,99.72,100,99.72,99.43,100,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,100,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.15,99.15,100,100,100,96.88,99.43
KPN_03517,100,99.76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.76,100,100,100,99.76,100,100,100,100,99.76,100,100,100,98.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.03,100,100,100,100,100,99.03,100
KPN_00241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.79,,,,,,,,100,100,,,
KPN_02120,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.6,99.65,99.65,99.65,99.65,99.31,99.65,99.31,99.65,99.65,99.31,99.65,99.65,99.65,99.65,97.92,99.31,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.31,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,97.92,99.65,99.65,100,100,99.31,98.96,99.31
KPN_04375,99.05,100,99.38,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,99.53,100,100,100,100,100,100,100,100,100,99.05,100,100,99.53,100,100,100,100,97.63,99.05,100,100,100,100,100,100,100,100,100,100,100,100,99.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.53,,100,100,100,100,98.1,100,100,100,100,100,97.63,99.53
KPN_04318,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,100,99.51,99.51,99.51,100,100,99.51,99.03,99.51,99.51,99.51,99.51,99.03,99.51,96.6,100,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,100,99.51,99.51,99.51,99.51,96.6,99.51,99.51,100,100,100,98.54,99.51
KPN_04430,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.36,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.36,100,100,100,100,100,96.72,99.18
KPN_02549,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.71,100,100,100,86.29,100,100,100,100,100,100,100,100,100,99.71,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.71,100,100,100,100,100,99.71,100
KPN_04271,99.8,99.8,99.78,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.6,99.8,99.8,99.8,99.8,99.6,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100,99.8,99.8,99.8,99.8,99.6,99.8,99.8,100,99.8,99.6,99.19,99.8
KPN_00167,99.66,98.99,99.59,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.66,100,98.33,100,99.66,99.32,99.66,100,100,99.66,98.99,100,99.32,100,95.27,100,100,100,100,100,100,100,100,100,100,100,100,100,99.66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.32,99.18,100,100,100,100,95.27,100,100,100,100,99.66,95.7,99.58
KPN_00700,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,99.85,100,100,100,100,100,100,100,100,100,99.54,,,,100,100,,,,,,,,,,,,,,,,,,,,,100,,,,100,,,,,99.69,99.54,99.54,100,100,99.85,100,99.85
KPN_02810,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KPN_04287,99.76,99.76,99.76,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.76,99.52,99.52,99.52,99.52,99.52,99.52,99.76,99.52,99.52,99.76,99.52,99.52,99.52,98.33,99.76,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.76,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.76,99.52,99.52,99.52,99.52,98.33,99.52,99.52,100,100,99.52,97.86,99.52
KPN_01867,99.75,99.38,99.88,100,100,100,100,100,100,,100,100,100,99.88,100,,100,100,100,,100,99.63,,100,,99.71,100,100,,99.8,99.8,99.5,99.88,100,,99.38,99.88,,100,97.63,,,,100,,100,,,99.71,100,,100,100,99.71,,,,100,,,100,,,,100,,100,100,,100,,100,,,,,,100,100,99.8,98.93,99.41
KPN_00281,99.46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.61,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.46,100,100,100,100,100,99.46,100
KPN_04787,99.59,99.59,100,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.59,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.04,97.26,100,99.8,99.8,99.8,99.8,99.8,99.59,99.8,99.59,99.8,99.59,100,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,98.36,99.8,99.8,100,100,100,98.98,99.39
KPN_04339,99.48,99.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.74,99.48,99.48,99.48,99.74,99.48,99.48,99.48,99.48,99.74,99.74,99.74,99.48,99.74,99.74,99.48,99.74,99.48,99.48,99.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.74,99.48,99.48,99.48,99.48,99.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.22,99.48,99.48,99.48,99.48,99.48,99.48,99.74,99.74,100,100,99.48,97.93,99.48
KPN_00221,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,98.13,99.63,99.63,99.63,99.63,99.25,99.25,99.25,99.63,100,99.63,99.25,99.63,99.63,98.88,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,100,99.63,99.63,99.63,99.63,99.25,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.63,98.69,99.63,99.63,99.63,99.63,98.13,99.63,99.63,100,100,99.63,98.5,98.88
KPN_00313,100,100,100,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,100,99.64,100,99.64,99.64,100,99.64,99.64,99.64,99.27,100,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.27,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,100,100,99.64,99.64,99.64,99.64,99.64,99.64,99.64,100,100,99.64,99.64,100
KPN_03125,99.62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.62,100,100,100,99.62,100,100,100,100,100,100,100,99.62,100,97.34,99.62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.62,97.71,100,100,100,100,97.34,100,100,100,100,99.62,97.34,99.62
KPN_04387,99.54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.77,100,100,100,100,100,99.77,99.77,100,99.77,100,100,100,100,98.61,99.77,100,100,100,100,100,100,100,100,100,100,100,100,99.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.54,100,100,100,100,100,99.07,100,100,100,100,100,97.91,100
